iter	Passed	Remaining
0	1	175
1	2	139
2	4	133
3	5	121
4	6	120
5	7	115
6	8	112
7	9	108
8	10	106
9	11	103
10	12	104
11	14	105
12	15	102
13	16	101
14	17	98
15	18	97
16	19	96
17	21	97
18	22	94
19	23	93
20	24	92
21	26	92
22	27	92
23	28	90
24	29	89
25	30	88
26	32	86
27	33	85
28	34	84
29	35	83
30	37	82
31	38	81
32	39	79
33	40	78
34	41	76
35	42	75
36	43	74
37	45	74
38	46	73
39	47	71
40	49	71
41	49	68
42	51	67
43	52	66
44	53	65
45	54	64
46	56	63
47	57	61
48	58	60
49	59	59
50	60	58
51	62	57
52	63	56
53	64	54
54	65	53
55	66	52
56	67	51
57	68	49
58	69	48
59	70	47
60	71	45
61	72	44
62	73	43
63	75	42
64	77	41
65	78	40
66	79	39
67	80	37
68	81	36
69	82	35
70	83	34
71	84	32
72	86	31
73	87	30
74	88	29
75	89	28
76	90	27
77	92	26
78	93	24
79	94	23
80	95	22
81	96	21
82	97	19
83	98	18
84	99	17
85	100	16
86	101	15
87	102	13
88	103	12
89	104	11
90	105	10
91	107	9
92	108	8
93	109	7
94	110	5
95	111	4
96	113	3
97	114	2
98	116	1
99	117	0
